Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
10/12/2022,112.9,128.21,122.66,121.63,0.85,48.45,0.006,45728700
10/13/2022,112.53,127.67,122.26,121.68,0.84,45.22,-0.003,86868100
10/14/2022,106.9,126.96,121.66,121.68,0.84,38.36,-0.05,67737300
10/17/2022,113.79,126.42,121.35,121.77,0.85,44.07,0.064,62782000
10/18/2022,116.36,125.96,121.16,121.87,0.85,52.23,0.023,65607400
10/19/2022,115.07,125.5,120.92,121.91,0.84,53.01,-0.011,47198100
10/20/2022,115.25,124.95,120.7,121.91,0.85,49.01,0.002,48795100
10/21/2022,119.32,124.53,120.64,121.9,0.85,47.11,0.035,55660500
10/24/2022,119.82,124.05,120.61,121.88,0.85,48.17,0.004,49531500
10/25/2022,120.6,123.6,120.61,121.83,0.85,50.48,0.007,50934600
10/26/2022,115.66,123.02,120.42,121.77,0.85,51.82,-0.041,68802300
10/27/2022,110.96,122.4,120.04,121.63,0.86,46.02,-0.041,129605400
10/28/2022,103.41,121.62,119.39,121.43,0.85,39.04,-0.068,223133400
10/31/2022,102.44,120.9,118.73,121.25,0.87,37.07,-0.009,99251400
11/1/2022,96.79,120.17,117.87,121.05,0.87,32.79,-0.055,153370000
11/2/2022,92.12,119.34,116.86,120.88,0.87,33.49,-0.048,135761800
11/3/2022,89.3,118.45,115.78,120.73,0.86,19.91,-0.031,136683300
11/4/2022,90.98,117.53,114.8,120.62,0.87,18.12,0.019,129101300
11/7/2022,90.53,116.72,113.85,120.45,0.88,18.51,-0.005,77495700
11/8/2022,89.98,115.93,112.92,120.31,0.89,17.87,-0.006,88703400
11/9/2022,86.14,115.08,111.87,120.11,0.89,7.57,-0.043,90796200
11/10/2022,96.63,114.47,111.27,119.99,0.89,26.38,0.122,173414900
11/11/2022,100.79,113.93,110.86,119.91,0.9,31.12,0.043,111590500
11/14/2022,98.49,113.35,110.37,119.77,0.91,32.77,-0.023,99533100
11/15/2022,98.94,112.81,109.92,119.59,0.9,36.81,0.005,111336300
11/16/2022,97.12,112.16,109.42,119.43,0.9,42.11,-0.018,87958800
11/17/2022,94.85,111.46,108.85,119.31,0.9,40.78,-0.023,82617900
11/18/2022,94.14,110.68,108.27,119.16,0.9,46.34,-0.007,72428200
11/21/2022,92.46,109.8,107.65,119.02,0.91,50.51,-0.018,84330300
11/22/2022,93.2,109.13,107.09,118.86,0.91,56.26,0.008,62192000
11/23/2022,94.13,108.44,106.58,118.67,0.92,55.18,0.01,59414700
11/25/2022,93.41,107.78,106.06,118.46,0.92,54.7,-0.008,35088600
11/28/2022,93.95,107.19,105.59,118.23,0.93,56.48,0.006,74943100
11/29/2022,92.42,106.54,105.07,118,0.92,61.08,-0.016,65567300
11/30/2022,96.54,106.03,104.74,117.85,0.93,49.8,0.045,102805800
12/1/2022,95.5,105.57,104.37,117.71,0.92,35.97,-0.011,68488000
12/2/2022,94.13,105.11,103.97,117.55,0.93,37.83,-0.014,72496400
12/5/2022,91.01,104.65,103.46,117.35,0.93,30.74,-0.033,71535500
12/6/2022,88.25,104.11,102.87,117.1,0.93,29.4,-0.03,75503600
12/7/2022,88.46,103.59,102.3,116.85,0.94,33.59,0.002,68086900
12/8/2022,90.35,103.04,101.83,116.57,0.94,40.82,0.021,73305900
12/9/2022,89.09,102.53,101.33,116.23,0.93,41.67,-0.014,67398500
12/12/2022,90.55,102.08,100.91,115.89,0.93,43.68,0.016,61999800
12/13/2022,92.49,101.61,100.58,115.59,0.94,46.27,0.021,100212000
12/14/2022,91.58,101.02,100.23,115.3,0.95,45.87,-0.01,70298000
12/15/2022,88.45,100.37,99.77,115.03,0.95,38.88,-0.034,84802900
12/16/2022,87.86,99.72,99.3,114.7,0.95,40.42,-0.007,146144100
12/19/2022,84.92,99.13,98.74,114.33,0.94,24.31,-0.033,83531500
12/20/2022,85.19,98.56,98.2,113.83,0.94,26.41,0.003,74348300
12/21/2022,86.77,98.05,97.76,113.34,0.96,33.32,0.019,59267200
12/22/2022,83.79,97.47,97.21,112.84,0.94,33.53,-0.034,81431300
12/23/2022,85.25,96.92,96.74,112.3,0.92,42.73,0.017,57433700
12/27/2022,83.04,96.45,96.2,111.7,0.93,38.02,-0.026,57284000
12/28/2022,81.82,95.81,95.64,111.11,0.94,30.57,-0.015,58228600
12/29/2022,84.18,95.16,95.19,110.56,0.95,39.35,0.029,54995900
12/30/2022,84,94.54,94.75,110.02,0.95,34.96,-0.002,62401200
1/3/2023,85.82,93.95,94.4,109.45,0.96,34.6,0.022,76706000
