Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
9/9/2021,174.21,173.2,170.47,169.67,0.86,84.5,-0.012,54384000,169.61,169.1480938
9/10/2021,173.46,173.23,170.59,169.74,0.86,78.16,-0.004,47946000,169.73,169.2644751
9/13/2021,172.86,173.25,170.68,169.79,0.86,72.73,-0.003,51380000,169.82,169.37558
9/14/2021,172.5,173.19,170.75,169.86,0.86,72.61,-0.002,38738000,169.89,169.478464
9/15/2021,173.79,172.99,170.87,169.93,0.85,73.32,0.007,59150000,170.02,169.5867712
9/16/2021,174.41,172.78,171.01,169.96,0.85,71.57,0.004,51672000,170.16,169.701417
9/17/2021,173.13,172.51,171.09,169.99,0.86,57.44,-0.007,92332000,170.23,169.8071336
9/20/2021,167.79,172.15,170.96,169.94,0.85,32.71,-0.031,93382000,170.11,169.8677069
9/21/2021,167.18,171.78,170.81,169.87,0.84,29.89,-0.004,55618000,169.97,169.8881655
9/22/2021,169,171.48,170.74,169.83,0.85,38.37,0.011,48228000,169.89,169.8885324
9/23/2021,170.8,171.21,170.74,169.84,0.86,41.8,0.011,47588000,169.88,169.8868259
9/24/2021,171.28,171.01,170.77,169.9,0.86,38.25,0.003,42324000,169.91,169.8914607
9/27/2021,170.29,170.84,170.75,169.97,0.87,33.37,-0.006,72690000,169.88,169.8891686
9/28/2021,165.8,170.61,170.55,169.97,0.86,29.41,-0.026,88616000,169.69,169.8493349
9/29/2021,165.06,170.33,170.34,169.98,0.87,29.42,-0.004,51246000,169.47,169.7734679
9/30/2021,164.25,170.03,170.1,170.02,0.85,29.13,-0.005,56848000,169.25,169.6687743
10/1/2021,164.16,169.68,169.87,170.05,0.86,29.52,-0.001,56712000,169.01,169.5370195
10/4/2021,159.49,169.21,169.46,170.07,0.84,19.87,-0.028,90462000,168.62,169.3536156
10/5/2021,161.05,168.73,169.13,170.1,0.84,22.92,0.01,65384000,168.29,169.1408925
10/6/2021,163.1,168.37,168.89,170.12,0.84,30.29,0.013,50660000,168.05,168.922714
10/7/2021,165.12,168.04,168.74,170.14,0.85,43.98,0.012,48182000,167.89,168.7161712
