date,close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,volume
1/9/2023,129.09,139.78,137.6,145.78,142.55,46.19,0.004,70790800
1/10/2023,129.66,139.51,137.29,145.37,142.3,47.35,0.004,63896200
1/11/2023,132.4,139.07,137.1,144.97,142.1,46.65,0.021,69458900
1/12/2023,132.32,138.68,136.91,144.57,141.91,52.26,-0.001,71379600
1/13/2023,133.66,138.37,136.78,144.21,141.75,55.35,0.01,57809700
1/17/2023,134.83,138.2,136.71,143.9,141.61,61.17,0.009,63646600
1/18/2023,134.11,138.13,136.6,143.59,141.46,69.77,-0.005,69672800
1/19/2023,134.16,138.07,136.51,143.28,141.32,64.38,0,58280400
1/20/2023,136.74,138.05,136.52,142.96,141.23,68.08,0.019,80223600
1/23/2023,139.96,138.08,136.65,142.75,141.2,89.43,0.024,81760300
1/24/2023,141.37,138.23,136.84,142.56,141.2,89.5,0.01,66435100
1/25/2023,140.7,138.13,136.99,142.4,141.19,92.53,-0.005,65799300
1/26/2023,142.78,138.02,137.22,142.27,141.23,91.45,0.015,54105100
1/27/2023,144.74,137.97,137.51,142.16,141.29,92.1,0.014,70555800
1/30/2023,141.83,137.83,137.68,142.03,141.31,79.09,-0.02,64015300
1/31/2023,143.11,137.74,137.89,141.93,141.34,77.52,0.009,65874500
2/1/2023,144.24,137.64,138.14,141.83,141.4,79.06,0.008,77663600
2/2/2023,149.59,137.63,138.59,141.8,141.56,82.48,0.037,118339000
2/3/2023,153.24,137.76,139.17,141.77,141.79,84.09,0.024,154357300
2/6/2023,150.49,137.79,139.61,141.66,141.96,78.23,-0.018,69858300
2/7/2023,153.39,137.86,140.15,141.67,142.19,80.17,0.019,83322600
2/8/2023,150.68,137.93,140.56,141.64,142.36,71.78,-0.018,64120100
2/9/2023,149.64,138.06,140.92,141.63,142.5,66.23,-0.007,56007100
2/10/2023,150,138.26,141.28,141.64,142.65,65.01,0.001,57450700
2/13/2023,152.83,138.38,141.73,141.64,142.85,69.6,0.019,62199000
2/14/2023,152.18,138.49,142.14,141.6,143.04,65.93,-0.004,61707600
2/15/2023,154.3,138.64,142.61,141.62,143.26,66.12,0.014,65573800
2/16/2023,152.69,138.79,143.01,141.64,143.45,69.14,-0.01,68167900
2/17/2023,151.53,138.98,143.34,141.66,143.61,64.92,-0.008,59144100
2/21/2023,147.49,139.14,143.51,141.65,143.68,55.22,-0.027,58867200
2/22/2023,147.92,139.26,143.68,141.62,143.77,46.82,0.003,51011300
2/23/2023,148.41,139.41,143.87,141.62,143.86,39.52,0.003,48394200
2/24/2023,145.73,139.46,143.94,141.67,143.9,39.65,-0.018,55469600
2/27/2023,146.94,139.51,144.06,141.77,143.96,34.85,0.008,44998500
2/28/2023,146.43,139.6,144.15,141.82,144.01,38.87,-0.003,50547000
3/1/2023,144.34,139.78,144.16,141.82,144.01,36.85,-0.014,55479000
3/2/2023,144.94,140.01,144.19,141.82,144.03,37.56,0.004,52238100
3/3/2023,150.02,140.39,144.42,141.88,144.15,43.81,0.035,70732300
3/6/2023,152.81,140.82,144.75,142.02,144.32,51.26,0.019,87558000
3/7/2023,150.59,141.14,144.97,142.13,144.45,42.55,-0.014,56182000
3/8/2023,151.85,141.56,145.24,142.27,144.59,48.3,0.008,47204800
3/9/2023,149.59,141.93,145.41,142.4,144.69,46.2,-0.015,53833600
3/10/2023,147.51,142.3,145.5,142.46,144.75,50.04,-0.014,68572400
3/13/2023,149.47,142.79,145.65,142.58,144.84,53.08,0.013,84457100
3/14/2023,151.57,143.25,145.88,142.69,144.97,55.91,0.014,73695900
3/15/2023,151.97,143.72,146.12,142.78,145.11,62.71,0.003,77167900
3/16/2023,154.81,144.33,146.46,142.9,145.3,65.05,0.019,76161100
3/17/2023,153.97,144.9,146.76,143.02,145.48,64.22,-0.005,98944600
3/20/2023,156.35,145.55,147.13,143.13,145.69,72.4,0.015,73641400
3/21/2023,158.22,146.14,147.57,143.23,145.94,73.65,0.012,73938300
3/22/2023,156.78,146.7,147.93,143.29,146.15,63.82,-0.009,75701800
3/23/2023,157.87,147.26,148.32,143.39,146.39,61.14,0.007,67622100
3/24/2023,159.18,147.8,148.75,143.54,146.64,69.67,0.008,59196500
3/27/2023,157.23,148.3,149.08,143.57,146.85,61.92,-0.012,52390300
3/28/2023,156.6,148.75,149.37,143.62,147.04,66.78,-0.004,45992200
3/29/2023,159.7,149.25,149.78,143.72,147.29,77.8,0.02,51305700
3/30/2023,161.28,149.8,150.23,143.9,147.57,77.41,0.01,49501700
3/31/2023,163.8,150.39,150.76,144.16,147.89,77.84,0.016,68749800
4/3/2023,165.06,150.95,151.32,144.43,148.23,78.68,0.008,56976200
4/4/2023,164.53,151.45,151.84,144.7,148.55,73.67,-0.003,46278300
4/5/2023,162.67,151.87,152.27,144.94,148.83,70.2,-0.011,51511700
4/6/2023,163.56,152.33,152.71,145.23,149.13,67.99,0.005,45390100
4/10/2023,160.95,152.69,153.03,145.39,149.36,56.57,-0.016,47716900
4/11/2023,159.73,152.99,153.29,145.5,149.56,57.17,-0.008,47644200
4/12/2023,159.03,153.34,153.52,145.62,149.75,52.88,-0.004,50133100
4/13/2023,164.46,153.76,153.95,145.77,150.04,60.86,0.034,68445600
4/14/2023,164.11,154.16,154.35,145.93,150.32,65.18,-0.002,49386500
4/17/2023,164.13,154.45,154.73,146.08,150.6,67.06,0,41516200
4/18/2023,165.36,154.69,155.15,146.23,150.89,64.01,0.008,49923000
4/19/2023,166.51,155.01,155.59,146.43,151.2,63.23,0.007,47720200
4/20/2023,165.54,155.26,155.98,146.59,151.48,54.77,-0.006,52456400
4/21/2023,163.92,155.52,156.29,146.73,151.73,46.93,-0.01,58337300
4/24/2023,164.23,155.81,156.61,146.9,151.98,49.19,0.002,41949600
4/25/2023,162.68,156.07,156.84,147.1,152.19,50.03,-0.009,48714100
4/26/2023,162.67,156.26,157.07,147.32,152.39,47.4,0,45498800
4/27/2023,167.29,156.57,157.47,147.52,152.69,66.53,0.028,64902300
4/28/2023,168.55,156.85,157.91,147.73,153,72.96,0.008,55209200
5/1/2023,168.46,157.17,158.32,147.95,153.31,75.33,-0.001,52472900
5/2/2023,167.42,157.49,158.68,148.17,153.59,60.4,-0.006,48425700
5/3/2023,166.34,157.86,158.98,148.41,153.84,57.44,-0.006,65136000
5/4/2023,164.69,158.2,159.2,148.66,154.06,51.68,-0.01,81235400
5/5/2023,172.41,158.68,159.72,148.97,154.42,65.28,0.047,113316400
5/8/2023,172.35,159.21,160.22,149.28,154.77,63.25,0,55962800
5/9/2023,170.63,159.68,160.62,149.55,155.09,61.18,-0.01,45326900
5/10/2023,172.4,160.2,161.09,149.82,155.43,68.52,0.01,53724500
5/11/2023,172.59,160.77,161.54,150.13,155.77,68.35,0.001,49514700
5/12/2023,171.66,161.3,161.93,150.49,156.09,70.25,-0.007,45497800
5/15/2023,171.16,161.73,162.3,150.86,156.38,68.74,-0.003,37266700
5/16/2023,171.16,162.09,162.64,151.25,156.68,60.73,0,42110300
5/17/2023,171.78,162.52,163,151.66,156.98,59.28,0.004,57951600
5/18/2023,174.13,162.96,163.44,152.05,157.32,64.41,0.014,65496700
5/19/2023,174.23,163.45,163.86,152.48,157.65,68.21,0.001,55772400
5/22/2023,173.28,163.97,164.23,152.9,157.96,68.67,-0.005,43570900
5/23/2023,170.65,164.39,164.48,153.31,158.21,65.25,-0.015,50747300
5/24/2023,170.93,164.78,164.74,153.76,158.46,43.88,0.002,45143500
5/25/2023,172.08,165.18,165.02,154.2,158.73,48.98,0.007,56058300
5/26/2023,174.5,165.58,165.4,154.65,159.05,63.94,0.014,54835000
5/30/2023,176.36,166.02,165.83,155.17,159.39,64.15,0.011,55964400
5/31/2023,176.31,166.42,166.24,155.67,159.72,63.43,0,99625300
6/1/2023,179.14,166.84,166.74,156.22,160.11,73.77,0.016,68901800
6/2/2023,179.99,167.31,167.26,156.73,160.5,77.44,0.005,61945900
6/5/2023,178.63,167.72,167.71,157.22,160.86,71.4,-0.008,121946500
6/6/2023,178.26,168.1,168.12,157.7,161.21,68.84,-0.002,64848400
6/7/2023,176.88,168.5,168.47,158.14,161.52,58.48,-0.008,61944600
6/8/2023,179.62,168.96,168.9,158.61,161.87,64.26,0.015,50214900
6/9/2023,180,169.36,169.34,159.06,162.23,68.37,0.002,48870700
6/12/2023,182.82,169.79,169.87,159.54,162.64,82.89,0.016,54274900
