Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
12/12/2022,17.535,14.36,15.27,15.08,15.51,62.71,0.031,457328000
12/13/2022,18.072,14.47,15.38,15.09,15.56,63.06,0.031,656589000
12/14/2022,17.674,14.56,15.47,15.09,15.61,61.52,-0.022,496888000
12/15/2022,16.952,14.63,15.52,15.1,15.63,58.83,-0.041,478542000
12/16/2022,16.571,14.7,15.56,15.08,15.65,57.1,-0.022,478232000
12/19/2022,16.254,14.79,15.59,15.07,15.66,44.03,-0.019,354039000
12/20/2022,16.085,14.87,15.61,15.05,15.67,40.55,-0.01,403260000
12/21/2022,16.501,14.97,15.65,15.03,15.69,46.72,0.026,325025000
12/22/2022,15.339,15.05,15.63,15,15.68,40.38,-0.07,565045000
12/23/2022,15.206,15.11,15.62,14.96,15.67,43.62,-0.009,349326000
12/27/2022,14.121,15.17,15.56,14.91,15.64,35.86,-0.071,464902000
12/28/2022,14.036,15.22,15.5,14.86,15.61,24.35,-0.006,351066000
12/29/2022,14.603,15.27,15.46,14.83,15.59,31.57,0.04,354923000
12/30/2022,14.614,15.32,15.43,14.8,15.57,25.59,0.001,310490000
1/3/2023,14.315,15.36,15.39,14.76,15.54,17.3,-0.02,401277000
1/4/2023,14.749,15.41,15.36,14.73,15.53,24.7,0.03,431324000
1/5/2023,14.265,15.44,15.32,14.69,15.5,25.76,-0.033,389168000
1/6/2023,14.859,15.47,15.3,14.65,15.49,35.13,0.042,405044000
1/9/2023,15.628,15.53,15.31,14.61,15.49,44.96,0.052,504231000
1/10/2023,15.909,15.58,15.34,14.59,15.5,48.61,0.018,384101000
1/11/2023,16.001,15.63,15.36,14.56,15.51,45.83,0.006,353285000
1/12/2023,16.511,15.69,15.41,14.55,15.53,60.97,0.032,551409000
1/13/2023,16.899,15.75,15.47,14.55,15.56,65.12,0.023,447287000
1/17/2023,17.702,15.84,15.55,14.55,15.6,83.68,0.048,511102000
1/18/2023,17.377,15.92,15.63,14.55,15.64,80.06,-0.018,439624000
1/19/2023,16.765,15.97,15.67,14.54,15.66,69.3,-0.035,452932000
1/20/2023,17.839,16.04,15.76,14.56,15.7,74.19,0.064,564967000
1/23/2023,19.193,16.14,15.89,14.59,15.77,81.59,0.076,655163000
1/24/2023,19.265,16.25,16.02,14.63,15.84,80.69,0.004,496204000
1/25/2023,19.323,16.32,16.15,14.67,15.91,86.48,0.003,449537000
1/26/2023,19.802,16.39,16.3,14.73,15.99,86.25,0.025,489535000
1/27/2023,20.365,16.47,16.45,14.8,16.07,85.83,0.028,542142000
1/30/2023,19.162,16.52,16.56,14.85,16.13,71.59,-0.059,488611000
1/31/2023,19.537,16.59,16.68,14.91,16.2,72.62,0.02,498017000
2/1/2023,20.943,16.7,16.84,14.98,16.3,75.44,0.072,660477000
2/2/2023,21.709,16.82,17.04,15.06,16.4,76.46,0.037,564276000
2/3/2023,21.1,16.94,17.19,15.12,16.5,69.1,-0.028,429366000
2/6/2023,21.089,17.04,17.35,15.2,16.59,71.63,-0.001,452197000
2/7/2023,22.173,17.15,17.54,15.29,16.7,79.87,0.051,664150000
2/8/2023,22.205,17.27,17.72,15.38,16.81,77.25,0.001,559651000
2/9/2023,22.337,17.4,17.9,15.48,16.92,73.15,0.006,523876000
2/10/2023,21.265,17.51,18.03,15.55,17,62.84,-0.048,550737000
2/13/2023,21.788,17.61,18.18,15.64,17.1,64.93,0.025,474919000
2/14/2023,22.971,17.73,18.37,15.74,17.21,67.69,0.054,675474000
2/15/2023,22.764,17.85,18.54,15.84,17.32,63.94,-0.009,420575000
2/16/2023,22.002,17.95,18.68,15.93,17.42,67.4,-0.033,412026000
2/17/2023,21.388,18.06,18.78,16.03,17.49,61.02,-0.028,465888000
2/21/2023,20.655,18.15,18.86,16.11,17.56,48.14,-0.034,410015000
2/22/2023,20.754,18.22,18.93,16.19,17.62,43.24,0.005,513184000
2/23/2023,23.664,18.36,19.12,16.3,17.74,63.69,0.14,1117995000
2/24/2023,23.286,18.47,19.28,16.41,17.85,61.29,-0.016,589716000
2/27/2023,23.501,18.58,19.45,16.52,17.96,57.49,0.009,452994000
2/28/2023,23.216,18.69,19.59,16.63,18.07,55.55,-0.012,455963000
3/1/2023,22.698,18.81,19.71,16.72,18.16,51.9,-0.022,460026000
3/2/2023,23.314,18.94,19.86,16.82,18.26,61.33,0.027,389415000
3/3/2023,23.89,19.09,20.01,16.94,18.37,61.55,0.025,412393000
3/6/2023,23.554,19.24,20.15,17.06,18.47,53.53,-0.014,437429000
3/7/2023,23.288,19.38,20.28,17.18,18.57,53.15,-0.011,515154000
3/8/2023,24.181,19.56,20.43,17.3,18.68,62.91,0.038,513573000
3/9/2023,23.436,19.72,20.55,17.42,18.77,61.95,-0.031,501257000
3/10/2023,22.965,19.9,20.64,17.53,18.86,63.9,-0.02,474866000
3/13/2023,22.966,20.08,20.73,17.65,18.94,63.47,0,421890000
3/14/2023,24.063,20.26,20.86,17.77,19.04,53.12,0.048,474910000
3/15/2023,24.228,20.46,21,17.89,19.14,57.62,0.007,524486000
3/16/2023,25.541,20.68,21.17,18.02,19.27,64.01,0.054,583253000
3/17/2023,25.725,20.9,21.35,18.15,19.4,67.47,0.007,848547000
3/20/2023,25.9,21.13,21.53,18.29,19.53,73.41,0.007,432747000
3/21/2023,26.199,21.36,21.71,18.42,19.66,72.12,0.012,547408000
3/22/2023,26.468,21.58,21.9,18.55,19.79,70.74,0.01,797295000
3/23/2023,27.191,21.8,22.11,18.69,19.94,77.55,0.027,564889000
3/24/2023,26.779,22.02,22.29,18.82,20.07,75.87,-0.015,454920000
3/27/2023,26.531,22.22,22.46,18.95,20.2,69.26,-0.009,361026000
3/28/2023,26.41,22.41,22.61,19.08,20.33,77.14,-0.005,356104000
3/29/2023,26.984,22.59,22.78,19.22,20.46,86.01,0.022,393694000
3/30/2023,27.383,22.8,22.96,19.36,20.59,86.94,0.015,364516000
3/31/2023,27.777,23.02,23.15,19.49,20.74,85.2,0.014,433933000
4/3/2023,27.965,23.22,23.34,19.63,20.88,85.26,0.007,398716000
4/4/2023,27.453,23.38,23.5,19.76,21.01,71.25,-0.018,368592000
4/5/2023,26.881,23.54,23.64,19.89,21.13,61.83,-0.021,515015000
4/6/2023,27.037,23.69,23.77,20,21.24,61.68,0.006,397654000
4/10/2023,27.579,23.85,23.92,20.12,21.37,63.5,0.02,395279000
4/11/2023,27.169,23.98,24.05,20.22,21.48,56.67,-0.015,314378000
4/12/2023,26.495,24.13,24.14,20.32,21.58,43.31,-0.025,446259000
4/13/2023,26.463,24.27,24.23,20.43,21.68,46.72,-0.001,353615000
4/14/2023,26.758,24.38,24.33,20.54,21.78,52.33,0.011,395660000
4/17/2023,27.002,24.49,24.44,20.66,21.88,55.93,0.009,321471000
4/18/2023,27.667,24.62,24.56,20.78,22,56.72,0.025,604812000
4/19/2023,27.931,24.76,24.7,20.9,22.12,55.54,0.01,358660000
4/20/2023,27.104,24.86,24.79,21,22.21,43.75,-0.03,427713000
4/21/2023,27.119,24.95,24.88,21.11,22.31,41.88,0.001,345103000
4/24/2023,27.042,25.05,24.97,21.22,22.41,45.69,-0.003,339282000
4/25/2023,26.241,25.15,25.02,21.33,22.48,43.6,-0.03,378527000
4/26/2023,26.956,25.25,25.09,21.43,22.57,49.27,0.027,406337000
4/27/2023,27.226,25.34,25.18,21.53,22.66,46.66,0.01,377161000
4/28/2023,27.749,25.44,25.28,21.64,22.76,55.37,0.019,292216000
5/1/2023,28.91,25.57,25.42,21.76,22.88,70.5,0.042,570329000
5/2/2023,28.21,25.71,25.53,21.89,22.99,63.32,-0.024,402730000
5/3/2023,27.802,25.85,25.62,22,23.09,57.83,-0.014,383387000
5/4/2023,27.562,25.99,25.69,22.11,23.17,54.2,-0.009,321850000
5/5/2023,28.68,26.09,25.81,22.22,23.28,57.11,0.041,361494000
5/8/2023,29.151,26.21,25.94,22.34,23.4,58.33,0.016,344979000
5/9/2023,28.571,26.31,26.04,22.44,23.5,60.36,-0.02,314869000
5/10/2023,28.885,26.42,26.16,22.56,23.61,61.97,0.011,369350000
5/11/2023,28.578,26.54,26.25,22.67,23.71,60.09,-0.011,322149000
5/12/2023,28.34,26.64,26.33,22.79,23.8,64.9,-0.008,274222000
5/15/2023,28.953,26.74,26.44,22.92,23.9,64.38,0.022,293926000
5/16/2023,29.213,26.85,26.54,23.05,24.01,64.33,0.009,449405000
5/17/2023,30.178,26.99,26.69,23.19,24.13,66.47,0.033,432535000
5/18/2023,31.678,27.14,26.88,23.35,24.28,67.94,0.05,748725000
5/19/2023,31.264,27.3,27.05,23.51,24.42,70.56,-0.013,473908000
