Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
11/14/2022,237.88,235.57,237.04,250.72,247,56.2,-0.023,31123300
11/15/2022,238.3,235.35,237.09,250.48,246.83,59.72,0.002,31390100
11/16/2022,238.73,235.04,237.15,250.26,246.67,54.7,-0.001,24093300
11/17/2022,238.68,234.72,237.21,250.13,246.51,57.76,0,23123500
11/18/2022,238.23,234.28,237.25,249.95,246.35,61,-0.002,27613500
11/21/2022,239.05,233.81,237.32,249.82,246.2,70.5,0.003,26394700
11/22/2022,241.99,233.68,237.51,249.69,246.12,80.07,0.012,19665700
11/23/2022,244.51,233.61,237.78,249.55,246.09,78.15,0.01,19508500
11/25/2022,244.42,233.66,238.04,249.38,246.06,74.56,0,9200800
11/28/2022,238.76,233.62,238.07,249.13,245.91,64.72,-0.023,24778200
11/29/2022,237.35,233.55,238.04,248.87,245.74,69.1,-0.006,17956300
11/30/2022,251.98,233.81,238.59,248.79,245.87,66.28,0.062,47594200
12/1/2022,251.53,234.13,239.1,248.81,245.98,61.56,-0.002,26041500
12/2/2022,251.86,234.43,239.6,248.85,246.09,73.14,0.001,21528500
12/5/2022,247.1,234.68,239.89,248.82,246.11,62.74,-0.019,23435300
12/6/2022,242.08,234.85,239.98,248.72,246.03,54.28,-0.02,22463700
12/7/2022,241.34,235.02,240.03,248.64,245.94,53.34,-0.003,20481500
12/8/2022,244.33,235.15,240.2,248.53,245.91,57.21,0.012,22611800
12/9/2022,242.38,235.32,240.28,248.37,245.84,53.83,-0.008,20609700
12/12/2022,249.38,235.72,240.64,248.27,245.91,57.77,0.029,30665100
12/13/2022,253.73,236.06,241.15,248.24,246.06,59.34,0.017,42196900
12/14/2022,254.03,236.24,241.66,248.24,246.22,59.69,0.001,35410900
12/15/2022,245.92,236.25,241.83,248.22,246.22,56.88,-0.032,35560400
12/16/2022,241.66,236.22,241.82,248,246.13,53.92,-0.017,86102000
12/19/2022,237.47,236.35,241.65,247.66,245.95,33.68,-0.017,29696400
12/20/2022,238.8,236.61,241.54,247.29,245.81,35.96,0.006,25150800
12/21/2022,241.4,237,241.53,246.97,245.73,39.02,0.011,23690600
12/22/2022,235.24,237.26,241.29,246.62,245.52,37.9,-0.026,28651700
12/23/2022,235.77,237.36,241.07,246.2,245.32,42.91,0.002,21207000
12/27/2022,234.02,237.54,240.79,245.76,245.1,41.96,-0.007,16688600
12/28/2022,231.62,237.5,240.43,245.29,244.83,35.86,-0.01,17457100
12/29/2022,238.02,237.56,240.34,244.92,244.7,45.59,0.028,19770700
12/30/2022,236.85,237.64,240.2,244.51,244.54,35.62,-0.005,21938500
1/3/2023,236.61,237.72,240.06,244.04,244.39,28.29,-0.001,25740000
1/4/2023,226.26,237.47,239.52,243.48,244.03,21.95,-0.044,50623400
1/5/2023,219.55,237,238.74,242.8,243.54,22.59,-0.03,39585600
1/6/2023,222.14,236.5,238.09,242.14,243.12,28.98,0.012,43613600
1/9/2023,224.3,236.43,237.55,241.51,242.75,35.17,0.01,27369800
1/10/2023,226.01,236.48,237.09,240.9,242.41,35.72,0.008,27033900
1/11/2023,232.85,236.5,236.93,240.37,242.23,41.27,0.03,28669300
1/12/2023,235.55,236.64,236.87,239.91,242.09,50.35,0.012,27269500
1/13/2023,236.26,236.87,236.85,239.53,241.98,50.54,0.003,21333300
1/17/2023,237.37,237.28,236.87,239.19,241.89,53.71,0.005,29831300
1/18/2023,232.89,237.72,236.71,238.8,241.71,51.34,-0.019,30028700
1/19/2023,229.05,237.94,236.41,238.34,241.46,39.95,-0.016,28623000
1/20/2023,237.24,238.19,236.45,238.08,241.37,50.38,0.036,35389800
1/23/2023,239.57,238.48,236.57,237.86,241.34,52.76,0.01,31934000
