Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
7/5/2023,282.48,207.98,223.75,199.39,207.6,62.28,0.01,131530900
7/6/2023,276.54,210.26,225.82,200.08,208.97,59.41,-0.021,120332100
7/7/2023,274.43,212.54,227.73,200.86,210.26,56.49,-0.008,113602000
7/10/2023,269.61,214.86,229.37,201.61,211.44,47.53,-0.018,119425400
7/11/2023,269.79,217.05,230.95,202.21,212.59,56.21,0.001,91972400
7/12/2023,271.99,219.2,232.56,202.79,213.77,54.6,0.008,95672100
7/13/2023,277.9,221.52,234.34,203.55,215.04,63.63,0.022,112681500
7/14/2023,281.38,223.95,236.18,204.28,216.35,80.52,0.013,119771100
7/17/2023,290.38,226.54,238.31,205.21,217.82,80.47,0.032,131569600
7/18/2023,293.34,229.18,240.47,206.14,219.32,79.52,0.01,112434700
7/19/2023,291.26,231.61,242.46,207.03,220.74,76.52,-0.007,142355400
7/20/2023,262.9,233.43,243.26,207.69,221.58,50.64,-0.097,175158300
7/21/2023,260.02,235.25,243.92,208.21,222.34,36.36,-0.011,161050100
7/24/2023,269.06,237.26,244.9,208.85,223.26,41.5,0.035,136508500
7/25/2023,265.28,239.12,245.7,209.47,224.09,42.67,-0.014,112757300
7/26/2023,264.35,241.05,246.43,210.21,224.89,43.34,-0.004,95856200
7/27/2023,255.71,242.84,246.8,210.78,225.5,41.25,-0.033,103697300
7/28/2023,266.44,244.83,247.57,211.51,226.31,48.14,0.042,111446000
7/31/2023,267.43,246.71,248.35,212.31,227.13,47.43,0.004,84582200
8/1/2023,261.07,248.39,248.85,213.1,227.8,40.57,-0.024,83166000
8/2/2023,254.11,249.87,249.05,213.91,228.32,35.29,-0.027,101752900
8/3/2023,259.32,251.28,249.46,214.77,228.93,32.53,0.021,97569100
8/4/2023,253.86,252.64,249.63,215.56,229.43,28.41,-0.021,99242600
8/7/2023,251.45,254.01,249.7,216.24,229.86,28.31,-0.009,111097900
8/8/2023,249.7,255.32,249.7,216.94,230.26,39.87,-0.007,96642200
8/9/2023,242.19,256.3,249.41,217.52,230.49,37.22,-0.03,101596300
8/10/2023,245.34,257.18,249.25,218.17,230.79,31.43,0.013,109498600
8/11/2023,242.65,257.95,248.99,218.76,231.02,31.98,-0.011,98866600
8/14/2023,239.76,258.6,248.63,219.19,231.19,31.01,-0.012,98595300
8/15/2023,232.96,258.98,248.01,219.6,231.23,31.92,-0.028,88197600
8/16/2023,225.6,259.14,247.13,219.94,231.12,15.7,-0.032,112484500
8/17/2023,219.22,259.1,246.04,220.23,230.88,12.88,-0.028,120718400
8/18/2023,215.49,258.92,244.84,220.46,230.58,13.42,-0.017,135813700
8/21/2023,231.28,258.84,244.31,220.88,230.59,33.95,0.073,135702700
8/22/2023,233.19,258.62,243.87,221.28,230.64,30.74,0.008,130597900
8/23/2023,236.86,258.36,243.6,221.69,230.77,37.13,0.016,101077600
8/24/2023,230.04,257.79,243.07,221.92,230.75,34.8,-0.029,99777400
8/25/2023,238.59,257.42,242.89,222.36,230.91,42.81,0.037,106612200
8/28/2023,238.82,257.08,242.73,222.82,231.06,47.59,0.001,107673700
8/29/2023,257.18,257.01,243.3,223.54,231.58,56.95,0.077,134047600
8/30/2023,256.9,256.66,243.83,224.25,232.08,58.61,-0.001,121988400
8/31/2023,258.08,256.63,244.39,224.99,232.6,61.3,0.005,108861700
9/1/2023,245.01,256.24,244.41,225.57,232.84,56.9,-0.051,132272500
9/5/2023,256.49,256.24,244.89,226.33,233.31,66.89,0.047,129469600
9/6/2023,251.92,256.46,245.16,226.99,233.68,68.24,-0.018,116959800
9/7/2023,251.49,256.48,245.41,227.66,234.03,70.85,-0.002,115312900
9/8/2023,248.5,256.33,245.53,228.27,234.32,61.71,-0.012,118367700
9/11/2023,273.58,256.65,246.63,229.16,235.1,70.88,0.101,174667900
9/12/2023,267.48,256.76,247.45,230.03,235.74,65.44,-0.022,135999900
9/13/2023,271.3,256.59,248.38,231.12,236.44,71.46,0.014,111673700
9/14/2023,276.04,256.47,249.47,232.23,237.23,70.28,0.017,107709800
