Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
9/16/2022,299.5,397.26,390.7,396.43,406.83,22.64,-0.031,14948100
9/19/2022,296.06,395.39,386.99,395.4,404.64,22.12,-0.011,6593400
9/20/2022,291.06,393.53,383.23,394.33,402.39,21.61,-0.017,6548800
9/21/2022,286.3,391.75,379.43,393.09,400.09,21.34,-0.016,4913100
9/22/2022,287.06,390.05,375.8,392,397.85,22.1,0.003,5657600
9/23/2022,284.56,388.28,372.23,390.78,395.61,21.64,-0.009,4739300
9/26/2022,276.96,386.22,368.49,389.47,393.26,14.27,-0.027,6746200
9/27/2022,277.57,384.27,364.92,388.01,390.97,12.26,0.002,6390900
9/28/2022,281.4,382.14,361.65,386.82,388.8,7.44,0.014,4985100
9/29/2022,278.25,379.67,358.38,385.69,386.61,6.18,-0.011,5155300
9/30/2022,275.2,377,355.12,384.68,384.4,7.58,-0.011,4578800
10/3/2022,285.24,374.67,352.38,383.6,382.44,13.05,0.036,3738100
10/4/2022,294.97,372.73,350.12,382.75,380.71,38.95,0.034,4509200
10/5/2022,297.38,371.09,348.06,381.84,379.06,48.14,0.008,3469600
10/6/2022,298.41,369.2,346.11,380.77,377.46,52.16,0.003,4884000
10/7/2022,288.77,366.91,343.86,379.63,375.7,48.06,-0.032,3495900
10/10/2022,285.72,364.42,341.58,378.39,373.92,49.49,-0.011,2906300
10/11/2022,284.83,361.89,339.36,377.26,372.16,48.06,-0.003,3209800
10/12/2022,286.15,359.42,337.27,376.18,370.46,51.41,0.005,3044100
10/13/2022,294.74,356.82,335.6,375.14,368.96,65.5,0.03,4737200
10/14/2022,287.94,353.97,333.73,373.95,367.35,58.16,-0.023,3563300
10/17/2022,293.5,351.17,332.15,372.9,365.89,59.27,0.019,4600600
10/18/2022,292.98,348.34,330.62,371.8,364.45,61.76,-0.002,5472000
10/19/2022,299.83,345.81,329.41,370.72,363.17,68.54,0.023,5529100
10/20/2022,302.38,343.09,328.35,369.46,361.96,64.54,0.009,3621600
10/21/2022,306.37,340.52,327.49,368.36,360.86,60.71,0.013,3659300
10/24/2022,316.22,337.93,327.05,367.34,359.98,65.53,0.032,4817400
10/25/2022,323.79,335.38,326.92,366.16,359.26,68.89,0.024,3814600
10/26/2022,320.48,332.84,326.67,365.07,358.49,76.06,-0.01,4207700
10/27/2022,318.65,330.46,326.35,363.96,357.7,77.61,-0.006,2870200
10/28/2022,325.68,328.19,326.33,362.88,357.07,81.06,0.022,3008400
10/31/2022,318.5,326.06,326.02,361.78,356.31,72.58,-0.022,3253200
11/1/2022,316.02,324.15,325.63,360.68,355.51,66.24,-0.008,2467700
11/2/2022,301.22,321.97,324.67,359.75,354.43,59.03,-0.047,3480000
11/3/2022,285.93,319.58,323.15,358.89,353.08,45.45,-0.051,4897100
11/4/2022,285.75,317.21,321.68,358.04,351.74,45.64,-0.001,5738300
11/7/2022,299.54,315.58,320.82,357.27,350.71,49.84,0.048,3980700
11/8/2022,302.17,314.12,320.08,356.64,349.75,49.88,0.009,4230600
11/9/2022,298.87,312.6,319.25,356.02,348.74,45.8,-0.011,2778200
11/10/2022,329.95,311.73,319.67,355.69,348.37,56.21,0.104,5502900
11/11/2022,341.15,311.14,320.51,355.45,348.23,57.61,0.034,4110100
11/14/2022,340.37,310.58,321.29,355.09,348.07,58.91,-0.002,3464500
11/15/2022,345.96,310.14,322.26,354.67,348.03,61.84,0.016,2948600
11/16/2022,338.41,309.31,322.89,354.24,347.84,55.49,-0.022,2123200
11/17/2022,337.83,308.4,323.48,353.96,347.64,58.85,-0.002,2740400
11/18/2022,330.86,307.12,323.77,353.59,347.31,56.52,-0.021,3421700
11/21/2022,321.49,305.62,323.68,353.14,346.8,59.36,-0.028,3219900
11/22/2022,330.88,304.87,323.96,352.77,346.48,71.95,0.029,2573800
11/23/2022,335.78,304.16,324.43,352.36,346.27,73.35,0.015,2240800
11/25/2022,334.3,304.66,324.81,351.87,346.03,68.33,-0.004,1197800
11/28/2022,328.97,305.25,324.98,351.25,345.69,63.74,-0.016,2314800
11/29/2022,326.78,305.86,325.05,350.63,345.32,64.47,-0.007,2392600
11/30/2022,344.93,306.94,325.83,350.23,345.31,58.97,0.056,4979800
12/1/2022,344.11,308.1,326.54,349.92,345.29,52.02,-0.002,3365200
12/2/2022,341.53,309.19,327.13,349.62,345.21,50.77,-0.007,2741800
12/5/2022,334.09,310.18,327.4,349.23,344.99,42.27,-0.022,2542300
12/6/2022,331.15,311.26,327.55,348.74,344.72,44.97,-0.009,2182200
12/7/2022,326.68,312.24,327.52,348.26,344.36,42.67,-0.013,2055900
12/8/2022,332.58,313.27,327.71,347.7,344.13,51.15,0.018,2065800
12/9/2022,330.64,314.31,327.83,346.99,343.86,56.77,-0.006,1969200
12/12/2022,338.17,315.57,328.24,346.29,343.75,55.55,0.023,2914700
12/13/2022,342.46,316.72,328.79,345.69,343.72,55.13,0.013,3428000
12/14/2022,339.92,317.62,329.23,345.17,343.65,54.25,-0.007,3236500
12/15/2022,328.71,318.24,329.21,344.67,343.35,49.82,-0.033,5498700
12/16/2022,338.54,319.05,329.57,344.12,343.26,57.38,0.03,11940700
12/19/2022,328.76,319.85,329.54,343.38,342.97,38.66,-0.029,4086300
12/20/2022,338.22,320.9,329.88,342.66,342.88,46.31,0.029,3873600
